"","Date","SM05","SM25","SM60","SM75"
"1",2010-01-01,0.344198860136958,0.341298838593596,0.327944547375139,0.302828903236321
"2",2010-01-02,0.344315701489905,0.342021961978826,0.328272259409561,0.303007145758487
"3",2010-01-03,0.344263817398594,0.342516140429859,0.328199530129427,0.302992898239236
"4",2010-01-04,0.344035969909396,0.34217145413367,0.328685768373058,0.303291660818924
"5",2010-01-05,0.343773865843164,0.343164364464625,0.328765362410539,0.303320066619569
"6",2010-01-06,0.343589306993673,0.342776040953171,0.328519128865749,0.303071233980039
"7",2010-01-07,0.374,0.343016648062288,0.32883766261801,0.303284558067912
"8",2010-01-08,0.374,0.344108894026236,0.329010957285344,0.30350450109464
"9",2010-01-09,0.374,0.343706762194731,0.329104691850423,0.303617823765583
"10",2010-01-10,0.374,0.343816635461817,0.32902538409479,0.303610745022832
"11",2010-01-11,0.374,0.343136687940665,0.328446586089516,0.303284558067912
"12",2010-01-12,0.374,0.343357837564672,0.328490118352483,0.303277454796708
"13",2010-01-13,0.374,0.343182810273054,0.328468354694218,0.303348464091235
"14",2010-01-14,0.342943000032169,0.342951938364205,0.328250446373013,0.303249036511439
"15",2010-01-15,0.343509936046817,0.343357837564672,0.32841755359209,0.303391044671597
"16",2010-01-16,0.34369487884063,0.343541670064858,0.328461099042161,0.303327166768511
"17",2010-01-17,0.343878926267356,0.343192031614803,0.328264988944972,0.303156619668284
"18",2010-01-18,0.343819865703444,0.342988921575818,0.328155866301935,0.303163731771465
"19",2010-01-19,0.344120761496371,0.343155139998079,0.328272259409561,0.303256141862676
"20",2010-01-20,0.344009841512704,0.342868665307095,0.328024756827123,0.303085470111266
"21",2010-01-21,0.344881645018097,0.343688435344631,0.328395773453128,0.303305864760074
"22",2010-01-22,0.345059885402704,0.344245520863164,0.328598862380559,0.303327166768511
"23",2010-01-23,0.344907161966294,0.344090659290734,0.328555379629592,0.303263246694016
"24",2010-01-24,0.344824165964799,0.344309199284113,0.328772594918619,0.303312965950065
"25",2010-01-25,0.344676859990321,0.345258192919658,0.329090277257507,0.303681508877921
"26",2010-01-26,0.344470918386616,0.345625596546311,0.329205531726542,0.303688582381022
"27",2010-01-27,0.344386923595682,0.34534796732039,0.32904702014639,0.303454880349662
"28",2010-01-28,0.344328661168602,0.346026797483039,0.329528919932588,0.303716871149047
"29",2010-01-29,0.344792193699828,0.345786334228223,0.3293853314166,0.303723942029596
"30",2010-01-30,0.344811380441849,0.3459734279552,0.329665121634841,0.303992246005442
"31",2010-01-31,0.34495814180405,0.346523071336,0.329729567565765,0.303780490177683
"32",2010-02-01,0.344638334123424,0.346346212847121,0.329650794143503,0.304055680270951
"33",2010-02-02,0.344638334123424,0.346857930959692,0.329550438911013,0.303893485577706
"34",2010-02-03,0.345040830411218,0.347731789115896,0.329979757704118,0.304055680270951
"35",2010-02-04,0.344939032809578,0.347809912748417,0.329622132430295,0.303858188979066
"36",2010-02-05,0.345040830411218,0.34786194706414,0.329564782096853,0.303695655359757
"37",2010-02-06,0.345078930276191,0.348173344290433,0.329650794143503,0.303851128080739
"38",2010-02-07,0.345186660223969,0.348311297778439,0.329643629556416,0.303872309197337
"39",2010-02-08,0.345205637705481,0.348509125448097,0.329786814646208,0.303886427310618
"40",2010-02-09,0.345482815044684,0.349073655005891,0.330008306924571,0.304055680270951
"41",2010-02-10,0.345501634579211,0.349167288618032,0.330271958668118,0.304238694338033
"42",2010-02-11,0.345294065786372,0.349167288618032,0.329922632195543,0.304069770966948
"43",2010-02-12,0.345249879223793,0.348996949014121,0.329729567565765,0.303865249351289
"44",2010-02-13,0.345532978112814,0.349345682646861,0.329793968002074,0.303999296368009
"45",2010-02-14,0.345457706676778,0.349175794318473,0.329543266478092,0.30377342349699
"46",2010-02-15,0.345463985446371,0.349599708771173,0.3299012008308,0.303978143697966
"47",2010-02-16,0.34511698967875,0.349743227134492,0.329786814646208,0.303886427310618
"48",2010-02-17,0.344951773264979,0.349489749627383,0.329679446881951,0.303942878702296
"49",2010-02-18,0.344817773767105,0.349658842231782,0.329715250177693,0.303893485577706
"50",2010-02-19,0.344760193237068,0.349413517583851,0.329449973922956,0.303688582381022
"51",2010-02-20,0.344970875505373,0.349667285564879,0.329751039435241,0.303914657219899
"52",2010-02-21,0.345211961288186,0.349776950959255,0.329886910437859,0.303928769014746
"53",2010-02-22,0.345482815044684,0.350238906312997,0.330286188042215,0.304259788315687
"54",2010-02-23,0.345413723964781,0.350305828308874,0.329922632195543,0.304055680270951
"55",2010-02-24,0.345457706676778,0.350079690141284,0.329936916954817,0.304104988461128
"56",2010-02-25,0.345445145781814,0.350489508033085,0.329958339866564,0.304048634130741
"57",2010-02-26,0.345482815044684,0.349844346937377,0.329571952849638,0.303738082216437
"58",2010-02-27,0.345388566366122,0.350155156818403,0.32983687632736,0.303879368517137
"59",2010-02-28,0.345338197424058,0.350079690141284,0.329636464408474,0.303893485577706
"60",2010-03-01,0.345180332152034,0.349995735930621,0.329550438911013,0.303893485577706
"61",2010-03-02,0.34510430770587,0.350339263436222,0.329801120795675,0.304076815522591
"62",2010-03-03,0.344977240667802,0.350264010145505,0.329779660728143,0.3039710917532
"63",2010-03-04,0.344996329403211,0.35032254802858,0.329765351205687,0.304027492542124
"64",2010-03-05,0.345002690064682,0.350213792780376,0.329500220124825,0.303879368517137
"65",2010-03-06,0.345097965034074,0.350096468056017,0.329471511365002,0.303702727814055
"66",2010-03-07,0.345268823049518,0.350121626847596,0.329779660728143,0.303886427310618
