Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
WATO,5,33.7,43.9,22.5,1.5,0.24,0.094,0.038,0.372,0.107,1.41,12.9,4.4,-0.22
WATO,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WATO,25,28.3,45.1,26.7,1.47,0.256,0.111,0.045,0.39,0.11,1.4,12.4,4.2,-0.26
WATO,45,26.9,44.5,28.6,1.42,0.23,0.112,0.049,0.401,0.211,1.35,16.7,9.3,-0.93
WATO,60,28.1,42.9,29,1.43,0.229,0.118,0.052,0.402,0.238,1.35,17.3,10.2,-1.11
WATO,75,28.3,37.7,33.9,1.64,0.268,0.15,0.055,0.37,0.15,1.29,6.5,4.7,-1.09
WAUR,5,66.1,20.7,13.2,1.45,0.169,0.061,0.027,0.388,0.317,1.36,72.2,19.9,-1.07
WAUR,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WAUR,25,53.1,20.9,26,1.61,0.26,0.131,0.046,0.373,0.13,1.33,12.5,4.7,-0.66
WAUR,45,53.9,25.9,20.2,1.67,0.221,0.11,0.04,0.346,0.195,1.32,12.8,7.7,-1.13
WAUR,60,62.2,22.7,15.1,1.61,0.176,0.081,0.034,0.352,0.314,1.35,34,15.3,-1.3
WAUR,75,68.5,19.5,12,1.77,0.175,0.068,0.026,0.313,0.22,1.34,15,10.4,-1.1
WEAT,5,23.7,61.1,15.3,1.19,0.303,0.111,0.042,0.44,0.063,1.52,68.1,2.8,0.58
WEAT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WEAT,25,30.8,49.7,19.5,1.13,0.189,0.085,0.034,0.451,0.411,1.37,36,35.5,-1.1
WEAT,45,27.6,50.8,21.6,1.17,0.204,0.1,0.042,0.448,0.378,1.37,32,28.4,-1.12
WEAT,60,25,65.3,9.7,1.02,0.268,0.206,0.127,0.503,0.562,1.54,206.1,26.7,-1.69
WEAT,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WEBR,5,18.5,65.8,15.7,1.45,0.281,0.083,0.037,0.382,0.041,1.63,24.1,1.7,0.6
WEBR,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WEBR,25,12.2,64.6,23.2,1.45,0.239,0.11,0.043,0.387,0.168,1.36,16.8,7.2,-0.71
WEBR,45,15.1,59.8,25.2,1.43,0.267,0.121,0.048,0.4,0.112,1.39,15.3,4.2,-0.29
WEBR,60,22.3,58.3,19.4,1.36,0.218,0.087,0.034,0.39,0.182,1.38,23,9.5,-0.61
WEBR,75,28.5,57,14.4,1.43,0.181,0.064,0.026,0.359,0.24,1.37,25.1,13.4,-0.88
WEST,5,18.8,67.9,13.3,1.1,0.249,0.047,0.022,0.422,0.079,1.51,65.5,4.7,0.62
