"","Date","SM05","SM25","SM60","SM75"
"1",2000-01-01,0.303675126653286,0.336562671221914,0.327956812559439,0.300741588249407
"2",2000-01-02,0.302561908416218,0.337463597457533,0.328236513685848,0.301009256112477
"3",2000-01-03,0.297125635757177,0.337053666625653,0.328422532911656,0.301507873809259
"4",2000-01-04,0.290905774192707,0.337069464827417,0.328770347863739,0.30157726026099
"5",2000-01-05,0.286800237905242,0.335941538065123,0.328096763769085,0.300858047860361
"6",2000-01-06,0.285179946488429,0.336848060224688,0.328770347863739,0.301322617540417
"7",2000-01-07,0.282322158900674,0.335380877423053,0.328073452532444,0.30076489027996
"8",2000-01-08,0.286961730507939,0.334590852234815,0.32802681329414,0.300590002100244
"9",2000-01-09,0.311656725928613,0.333729694283741,0.327617769201741,0.300636666669185
"10",2000-01-10,0.326260996954166,0.333484726915833,0.327886761628656,0.300659991399293
"11",2000-01-11,0.331439270170063,0.333533764083145,0.327617769201741,0.300706625737635
"12",2000-01-12,0.331765398991317,0.332466426835475,0.327886761628656,0.300531643087363
"13",2000-01-13,0.330547082106898,0.333566443399152,0.328213236033236,0.301055738590349
"14",2000-01-14,0.328238206705145,0.333288360181454,0.327886761628656,0.300706625737635
"15",2000-01-15,0.32589140436892,0.331555393415626,0.327218786528365,0.299758376368174
"16",2000-01-16,0.324741151204737,0.331953819829511,0.327383266756358,0.300063643774929
"17",2000-01-17,0.322449126853054,0.332185603526589,0.327195267325732,0.299734859623875
"18",2000-01-18,0.319610456836988,0.33233436067774,0.327430211473482,0.300309592749972
"19",2000-01-19,0.317419474576586,0.331105536585353,0.327195267325732,0.299793642226427
"20",2000-01-20,0.314197267163761,0.331870926972514,0.327524034604088,0.300356377766516
"21",2000-01-21,0.31085511598037,0.331055446583058,0.326818213802666,0.299581880626667
"22",2000-01-22,0.307916431545488,0.328898785742575,0.326605506253242,0.299511204823488
"23",2000-01-23,0.305091345375322,0.329034681593024,0.326770983618309,0.299687811334297
"24",2000-01-24,0.298963895339854,0.329017702584417,0.327077588868157,0.299758376368174
"25",2000-01-25,0.295423924875952,0.328251297272892,0.326841820705395,0.299558326938994
"26",2000-01-26,0.29136195628953,0.328966751886429,0.326711915202805,0.299558326938994
"27",2000-01-27,0.287828033376234,0.327686364762379,0.326570012120133,0.299157164578405
"28",2000-01-28,0.285179946488429,0.327239552979425,0.326664635946384,0.299298912628434
"29",2000-01-29,0.285362707713125,0.326081273908907,0.326782793210992,0.299239872276304
"30",2000-01-30,0.311674089826476,0.32594231579088,0.326487144938509,0.298873143326772
"31",2000-01-31,0.34566245326626,0.333876412167762,0.326190648881306,0.298754595376393
"32",2000-02-01,0.347272076645479,0.336419671176748,0.326947984128734,0.299109876255218
"33",2000-02-02,0.346927429445734,0.335043021277744,0.327242300229039,0.299145344322254
"34",2000-02-03,0.347224425705063,0.33522012970828,0.326830017936741,0.299038907308349
"35",2000-02-04,0.34700433126941,0.335893600988446,0.327430211473482,0.299699575255971
"36",2000-02-05,0.346197714385466,0.336228688300663,0.327441944201202,0.299723099401097
"37",2000-02-06,0.345582448421269,0.336610292676769,0.327383266756358,0.299758376368174
"38",2000-02-07,0.345118863487801,0.336673752741129,0.327617769201741,0.299934594389519
"39",2000-02-08,0.344215017324505,0.336974637724388,0.327793282415176,0.300016734104788
"40",2000-02-09,0.343309962892596,0.336895545707857,0.327559195461406,0.300016734104788
"41",2000-02-10,0.342470328511166,0.337227307782461,0.327828347554824,0.300262787732959
"42",2000-02-11,0.339435716402519,0.338403032859464,0.32844576003057,0.300892961081121
"43",2000-02-12,0.33643165135659,0.337887479136754,0.32844576003057,0.30088132460692
"44",2000-02-13,0.333802675587354,0.3382158808084,0.328724045931046,0.301206666085166
"45",2000-02-14,0.32996366541208,0.337903142827031,0.328700886482337,0.301183460480642
"46",2000-02-15,0.327067405101926,0.337557953538286,0.328816627161529,0.301125424169254
"47",2000-02-16,0.323097685765817,0.338325097629239,0.329001517638293,0.301334205659571
"48",2000-02-17,0.319305279237347,0.338169035236715,0.329070757884688,0.301299437466962
"49",2000-02-18,0.315545554880862,0.338153414934022,0.329370206587636,0.301819747935433
"50",2000-02-19,0.315946565338281,0.338527595998418,0.329989045473717,0.302061665732409
"51",2000-02-20,0.319015197168379,0.337887479136754,0.329599894488829,0.301796678377503
"52",2000-02-21,0.321262219565322,0.336515027145817,0.328978426190123,0.301090587103897
"53",2000-02-22,0.327242122870132,0.336943008488639,0.329093826593233,0.301137033978817
"54",2000-02-23,0.348678506520236,0.339748811920323,0.329531048284897,0.301531007764447
"55",2000-02-24,0.348778514652355,0.338931291519656,0.329370206587636,0.301403707508174
"56",2000-02-25,0.350083624342653,0.340559044859095,0.329737431863958,0.301969573954916
"57",2000-02-26,0.349540247777215,0.341150569281986,0.329966200350751,0.302234113631424
"58",2000-02-27,0.349469385859539,0.341888102760568,0.330728354766814,0.302726835066192
"59",2000-02-28,0.348605566190099,0.341467429308498,0.330456094281015,0.302520874479859
"60",2000-02-29,0.3477353716832,0.341693047223714,0.330342404802308,0.302681102858266
"61",2000-03-01,0.346256676336088,0.342930711397193,0.331450256987127,0.303569059598794
"62",2000-03-02,0.34603010090394,0.342425924635486,0.33113516580253,0.303501042724562
"63",2000-03-03,0.349040595758554,0.344745539416171,0.332710042812156,0.304729110130877
"64",2000-03-04,0.349076565892718,0.344266587213896,0.332255156804654,0.304403949813174
"65",2000-03-05,0.349085551659301,0.344310249347891,0.332321882974483,0.304538638154102
"66",2000-03-06,0.349821980912809,0.344426563449001,0.332710042812156,0.304818607134573
